HEALTH,REAL ESTATE,TECH,ENERGY,FINANCIAL
JNJ,SPG,AAPL,XOM,BRK
UNH,PLD,MSFT,CVX,JPM
PFE,EQIX,FB,SLB,BAC
MRK,PSA,GOOGL,COP,WFC
ABBV,AMT,INTC,EOG,C
AMGN,AVB,V,OXY,GS
MDT,AQR,Tech,VLO,USB
ABT,DLR,CSCO,PSX,MS
GILD,WELL,VZ,HAL,AXP
TMO,BXP,MA,MPC,PNC
BMY,CCI,ORCL,APC,SCHW
LLY,VTR,NVDA,PXD,BLK
CELG,ESS,IBM,KMI,CB
DHR,HST,ADBE,OKE,CME
BDX,O,TXN,CXO,BK
ANTM,GGP,AVGO,WMB,AIG
AET,ARE,ACN,DVN,MET
BIIB,WY,PYPL,ANDV,SPGI
SYK,VNO,CRM,NBL,COF
AGN,EXR,QCOM,APA,PRU
ISRG,HCP,MU,HES,ICE
HUM,MAA,AMAT,MRO,MMC
CI,SLG,ADP,NOV,BBT
ZTS,UDR,ATVI,BHGE,TRV
ESRX,DRE,CTSH,EQT,STT